scene_name,step,psnr,ssim,lpips,envmap_name
modern_coffee_table_01_env_2,0,20.838596,0.901495,0.068848,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,1,18.666767,0.872029,0.086914,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,2,17.710285,0.850527,0.104492,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,3,16.413502,0.820414,0.129883,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,4,15.702538,0.805922,0.146484,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,5,15.066136,0.792804,0.157227,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,6,14.559921,0.785523,0.166016,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,7,14.253170,0.776009,0.172852,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,8,14.013277,0.768277,0.176758,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,9,13.896824,0.766365,0.178711,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,10,13.902964,0.768533,0.178711,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,11,13.843660,0.766687,0.181641,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,12,13.726475,0.762025,0.183594,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,13,13.701207,0.761868,0.185547,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,14,13.653421,0.760156,0.186523,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,15,13.587535,0.758076,0.188477,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,16,13.585506,0.758077,0.189453,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,17,13.542645,0.756732,0.191406,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,18,13.522536,0.755189,0.193359,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,19,13.491789,0.753900,0.195312,modern_coffee_table_01_env_0
modern_coffee_table_01_env_2,0,22.652138,0.912313,0.066895,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,1,20.285992,0.891263,0.089355,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,2,19.858849,0.881247,0.107422,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,3,19.318720,0.874161,0.125977,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,4,17.767761,0.866217,0.139648,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,5,16.932688,0.857101,0.148438,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,6,16.550566,0.854450,0.152344,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,7,15.961163,0.845254,0.156250,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,8,15.643982,0.838230,0.158203,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,9,15.432355,0.833373,0.161133,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,10,15.326994,0.830543,0.165039,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,11,15.202347,0.826168,0.168945,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,12,15.123483,0.823611,0.170898,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,13,14.848633,0.815850,0.173828,modern_coffee_table_01_env_1
modern_coffee_table_01_env_2,14,14.653571,0.809936,0.174805,modern_coffee_table_01_env_1
